category,product_name,product_price,product_url,product_score,product_review_count,Price
Electronics,Handsfree Bluetooth Car Kit,£23.22,https://www.banggood.com/example1.html,4.5,20,23.22
Electronics,Wireless Bluetooth Speaker,£45.50,https://www.banggood.com/example2.html,4.7,50,45.5
Electronics,Smartwatch Fitness Tracker,£60.00,https://www.banggood.com/example3.html,4.2,30,60.0
Home Appliances,Cordless Vacuum Cleaner,£120.99,https://www.banggood.com/example4.html,4.6,40,120.99
Home Appliances,Smart Air Purifier,£89.50,https://www.banggood.com/example5.html,4.4,25,89.5
Toys & Hobbies,RC Drone Quadcopter,£75.00,https://www.banggood.com/example6.html,4.3,15,75.0
Toys & Hobbies,Puzzle Educational Toy,£15.99,https://www.banggood.com/example7.html,4.8,80,15.99
Clothing,Men's Casual T-Shirt,£12.99,https://www.banggood.com/example8.html,4.1,35,12.99
Clothing,Women's Summer Dress,£29.50,https://www.banggood.com/example9.html,4.5,45,29.5
Sports & Outdoors,Yoga Mat Non-slip,£22.00,https://www.banggood.com/example10.html,4.7,60,22.0
Sports & Outdoors,Camping Tent 2-Person,£80.00,https://www.banggood.com/example11.html,4.6,30,80.0
